human,model,comb none,comb confusion,comb temperature scaling,comb ensemble temperature scaling,comb imax binning
0.95,0.9636666666666667,0.9736666666666667,0.962,0.978,0.977,0.9776666666666667
0.9503333333333334,0.9663333333333334,0.9773333333333334,0.9643333333333334,0.9773333333333334,0.9773333333333334,0.9773333333333334
0.9536666666666667,0.9703333333333334,0.9786666666666667,0.9673333333333334,0.9803333333333333,0.9793333333333333,0.9796666666666667
0.9546666666666667,0.9723333333333334,0.9813333333333333,0.9713333333333334,0.982,0.979,0.9823333333333333
0.9553333333333334,0.9643333333333334,0.977,0.9583333333333334,0.9793333333333333,0.979,0.9796666666666667
0.9546666666666667,0.9686666666666667,0.9786666666666667,0.9673333333333334,0.981,0.9803333333333333,0.982
0.956,0.9693333333333334,0.9796666666666667,0.9703333333333334,0.9793333333333333,0.9776666666666667,0.979
0.9533333333333334,0.971,0.9783333333333334,0.971,0.9796666666666667,0.9783333333333334,0.9783333333333334
0.952,0.9653333333333334,0.9753333333333334,0.9646666666666667,0.979,0.9766666666666667,0.979
0.956,0.9663333333333334,0.9783333333333334,0.9666666666666667,0.9786666666666667,0.9773333333333334,0.9786666666666667
0.953,0.9673333333333334,0.976,0.9646666666666667,0.9786666666666667,0.977,0.978
0.9553333333333334,0.9723333333333334,0.98,0.9686666666666667,0.981,0.9796666666666667,0.9823333333333333
0.9473333333333334,0.964,0.9733333333333334,0.965,0.976,0.9766666666666667,0.9763333333333334
0.9516666666666667,0.9656666666666667,0.9783333333333334,0.9683333333333334,0.9786666666666667,0.979,0.9803333333333333
0.9586666666666667,0.965,0.9793333333333333,0.9673333333333334,0.9816666666666667,0.9783333333333334,0.98
0.9583333333333334,0.9686666666666667,0.9793333333333333,0.966,0.9816666666666667,0.98,0.9793333333333333
0.9523333333333334,0.9683333333333334,0.9783333333333334,0.9676666666666667,0.981,0.979,0.9803333333333333
0.9496666666666667,0.963,0.9753333333333334,0.962,0.9766666666666667,0.974,0.976
0.9583333333333334,0.967,0.976,0.966,0.9796666666666667,0.979,0.9793333333333333
0.9513333333333334,0.969,0.979,0.965,0.9806666666666667,0.9796666666666667,0.98
0.9503333333333334,0.9683333333333334,0.9756666666666667,0.965,0.9773333333333334,0.976,0.9776666666666667
0.9536666666666667,0.9733333333333334,0.9813333333333333,0.9676666666666667,0.981,0.9783333333333334,0.9806666666666667
0.9526666666666667,0.9676666666666667,0.9796666666666667,0.964,0.98,0.9776666666666667,0.9806666666666667
0.9556666666666667,0.962,0.9776666666666667,0.9616666666666667,0.981,0.98,0.9813333333333333
0.9613333333333334,0.9676666666666667,0.978,0.9706666666666667,0.9823333333333333,0.9823333333333333,0.983
