calibration method,metric,model,comb
imax binning,cwECE (WNT),0.005527275510996706,0.003640487265504555
imax binning,cwECE (MNT),0.0031482296685025695,0.0013042054618920976
imax binning,NLL,0.19699739780313383,0.42705403554848986
none,ECE (W),0.026851702203353176,0.017233153731727274
none,ECE (M),0.02342643385132153,0.016410812996329963
none,cwECE (WT),0.04783126289245145,0.0317996689738467
none,cwECE (MT),0.023195462555368303,0.014020546366564366
none,cwECE (WNT),0.007810500672800353,0.0044914574950381805
none,cwECE (MNT),0.0032644693130357686,0.0013813139569544626
none,NLL,0.21829626646833228,0.24453068072456524
confusion,ECE (W),0.009188292067434597,0.013644298271293789
confusion,ECE (M),0.010955605440309362,0.01218665729281532
confusion,cwECE (WT),0.010970788719216019,0.02871179510442711
confusion,cwECE (MT),0.010970788719216019,0.011935519719730576
confusion,cwECE (WNT),0.002805489057649902,0.0038889968261060343
confusion,cwECE (MNT),0.004032525670972879,0.002119515081561207
confusion,NLL,0.7197920065534201,0.668292924574125
temperature scaling,ECE (W),0.014180771652233722,0.012609339577684743
temperature scaling,ECE (M),0.017750347874679825,0.011859901489106534
temperature scaling,cwECE (WT),0.04056184375340295,0.027200314394229756
temperature scaling,cwECE (MT),0.010862977551297174,0.011561645968631292
temperature scaling,cwECE (WNT),0.00526318309226422,0.0037186187033900983
temperature scaling,cwECE (MNT),0.0022406122293436013,0.0014828077118688252
temperature scaling,NLL,0.18267586502955388,0.2338926064045953
ensemble temperature scaling,ECE (W),0.014372704393779918,0.013613582887322208
ensemble temperature scaling,ECE (M),0.018131848655624644,0.011861553087326967
ensemble temperature scaling,cwECE (WT),0.04082963584708136,0.0274878734057316
ensemble temperature scaling,cwECE (MT),0.01152350745822774,0.011522551631019198
ensemble temperature scaling,cwECE (WNT),0.00531706208450807,0.003772376557058685
ensemble temperature scaling,cwECE (MNT),0.0022807669176490453,0.001487242930667692
ensemble temperature scaling,NLL,0.18285307853161353,0.2341238463097966
imax binning,ECE (W),0.011978178777645732,0.013978775886881407
imax binning,ECE (M),0.01296944634477434,0.012143416367779625
imax binning,cwECE (WT),0.028085846499573235,0.028796717713069037
imax binning,cwECE (MT),0.011047704829279071,0.012207788781105806
imax binning,cwECE (WNT),0.003831973216491193,0.003925962523319096
imax binning,cwECE (MNT),0.0017691931003088804,0.0014921520595085566
imax binning,NLL,0.18774085383004885,0.23431485400241645
none,ECE (W),0.03341828609506291,0.019240149815496675
none,ECE (M),0.031516834765672685,0.016635928975800764
none,cwECE (WT),0.052675027764575666,0.033720479086741896
none,cwECE (MT),0.02779810558264496,0.014473118199303798
none,cwECE (WNT),0.008806652917453224,0.00487987870568632
none,cwECE (MNT),0.0040221251217018965,0.0014662606535211695
none,NLL,0.25674799745798504,0.34959989196985786
