calibration method,metric,model,comb
imax binning,cwECE (WNT),0.0036138902371494414,0.003520357055561197
imax binning,cwECE (MNT),0.0023189430273759595,0.0014640688934057639
imax binning,NLL,0.11850035124547761,0.4113082869900746
none,ECE (W),0.019377170860767373,0.014222220927093344
none,ECE (M),0.016641153097152712,0.01354727610086382
none,cwECE (WT),0.031151849145413406,0.021803584730555804
none,cwECE (MT),0.015300376095668233,0.013043949161450574
none,cwECE (WNT),0.0048494014911453385,0.0033777544797838023
none,cwECE (MNT),0.002033133655575377,0.0014503983028988563
none,NLL,0.13566548192424877,0.22617344405620246
confusion,ECE (W),0.007511856717039455,0.009284077904284812
confusion,ECE (M),0.00969986091637874,0.0056745867827642255
confusion,cwECE (WT),0.009698518308427283,0.025254634571270224
confusion,cwECE (MT),0.009698518308427283,0.010924980673524739
confusion,cwECE (WNT),0.0020484620379781675,0.0032987111437479204
confusion,cwECE (MNT),0.0028118683849535325,0.0016557125349120068
confusion,NLL,0.3968352633515442,0.4524871105542568
temperature scaling,ECE (W),0.00799354927888284,0.008202086776593363
temperature scaling,ECE (M),0.006827143192259645,0.0074641332782342685
temperature scaling,cwECE (WT),0.03036091324741607,0.022738055721891547
temperature scaling,cwECE (MT),0.01144337388595838,0.009841554538526082
temperature scaling,cwECE (WNT),0.0038991364122495245,0.0030319298278571596
temperature scaling,cwECE (MNT),0.002444899957533751,0.001486853216547241
temperature scaling,NLL,0.10494140020046791,0.2117639954396145
ensemble temperature scaling,ECE (W),0.01824799055222769,0.009877072494933876
ensemble temperature scaling,ECE (M),0.016868499069901413,0.008502666469154508
ensemble temperature scaling,cwECE (WT),0.0348725245249378,0.026316869781534934
ensemble temperature scaling,cwECE (MT),0.01648711276872101,0.009334271657408116
ensemble temperature scaling,cwECE (WNT),0.005395625358563966,0.0035152765136149907
ensemble temperature scaling,cwECE (MNT),0.0035368500919789035,0.0014642318576963888
ensemble temperature scaling,NLL,0.111509807715917,0.2155064823820393
imax binning,ECE (W),0.008920628810060274,0.01089985106307194
imax binning,ECE (M),0.008920628810060291,0.010015151670997015
imax binning,cwECE (WT),0.027439294939534793,0.021654968873103485
imax binning,cwECE (MT),0.009922168757453085,0.010853771982746018
imax binning,cwECE (WNT),0.003560151319844003,0.0030581851876345686
imax binning,cwECE (MNT),0.0014955558334635854,0.0014739587530092748
imax binning,NLL,0.10784523671720082,0.21429805625307866
none,ECE (W),0.02660780258973439,0.01786306536594231
none,ECE (M),0.024229330420494088,0.017018173422134866
none,cwECE (WT),0.03905416984700043,0.025429688505719063
none,cwECE (MT),0.022636160058140953,0.016016109548740283
none,cwECE (WNT),0.006410599052193188,0.004216519100938655
none,cwECE (MNT),0.0022747747112633644,0.0012381320859377904
none,NLL,0.19072979226946954,0.3770706371845516
confusion,ECE (W),0.0064601823118148605,0.01691252585467964
confusion,ECE (M),0.011098497860893973,0.016999512812549168
confusion,cwECE (WT),0.011158800617506159,0.03478277739446712
confusion,cwECE (MT),0.011158800617506159,0.017939666273039313
confusion,cwECE (WNT),0.002046227360858862,0.0046674782700788795
confusion,cwECE (MNT),0.0033085201966572427,0.002884610090638076
confusion,NLL,0.5497892495478023,0.7068296305224765
temperature scaling,ECE (W),0.009131657788201948,0.011659614029857355
temperature scaling,ECE (M),0.0093330095085689,0.010288519378685032
temperature scaling,cwECE (WT),0.030664398341801773,0.02490493260692303
temperature scaling,cwECE (MT),0.011865973435555576,0.010502959296722052
temperature scaling,cwECE (WNT),0.004119291838332567,0.0034523727248586484
temperature scaling,cwECE (MNT),0.0025030485281750644,0.001363509603279379
temperature scaling,NLL,0.1353820123967672,0.34278209248108504
ensemble temperature scaling,ECE (W),0.01192064783609221,0.01069733534650568
ensemble temperature scaling,ECE (M),0.007815846354023576,0.008934425488671682
ensemble temperature scaling,cwECE (WT),0.03188244629156861,0.02428268602845391
ensemble temperature scaling,cwECE (MT),0.01630640648346872,0.01002662920593443
ensemble temperature scaling,cwECE (WNT),0.004768696126601501,0.0033056134051400376
ensemble temperature scaling,cwECE (MNT),0.003301443830650732,0.0014661286656831548
ensemble temperature scaling,NLL,0.1363161187244696,0.3428750338072818
imax binning,ECE (W),0.0028738026327927717,0.012295042215643358
imax binning,ECE (M),0.0028564129418736494,0.011195828929232392
imax binning,cwECE (WT),0.025150114212134984,0.021949331654492966
imax binning,cwECE (MT),0.012607417770947302,0.010659320415448783
imax binning,cwECE (WNT),0.0034536061937944563,0.0032973342662026032
imax binning,cwECE (MNT),0.0015539743820670842,0.001511071158895403
imax binning,NLL,0.13915760779448363,0.344661714439318
none,ECE (W),0.02481624524792038,0.016377407108485162
none,ECE (M),0.021609636813402184,0.015206273883297802
none,cwECE (WT),0.03633982550812358,0.02701782450989044
none,cwECE (MT),0.022003417051357676,0.013406905010982486
none,cwECE (WNT),0.005827431344552624,0.004093849424465173
none,cwECE (MNT),0.002246959455475623,0.0010004449387390052
none,NLL,0.16355835100633342,0.24358122999239776
confusion,ECE (W),0.00806083572497155,0.009496189315887943
confusion,ECE (M),0.009943717969610069,0.009600021465875023
confusion,cwECE (WT),0.009974512066376683,0.020005376864836884
confusion,cwECE (MT),0.009974512066376683,0.008569528534891893
confusion,cwECE (WNT),0.00174471618110228,0.002899080091070612
confusion,cwECE (MNT),0.0032211313071682838,0.0013708656982410797
confusion,NLL,0.3772461722719531,0.42328207108545834
temperature scaling,ECE (W),0.007666123215440278,0.010077523424371754
temperature scaling,ECE (M),0.007926934150919612,0.008409158042472834
temperature scaling,cwECE (WT),0.029644233568017386,0.021725435525215837
temperature scaling,cwECE (MT),0.01638408445545508,0.00923374668260558
temperature scaling,cwECE (WNT),0.003831619461299877,0.0031187456356879524
temperature scaling,cwECE (MNT),0.0026293147797028034,0.0007575952417072892
temperature scaling,NLL,0.11854228751571168,0.22022141177070337
ensemble temperature scaling,ECE (W),0.012711560526602966,0.010906702433184156
ensemble temperature scaling,ECE (M),0.00963412165657989,0.007718253954679187
ensemble temperature scaling,cwECE (WT),0.03241649478997094,0.02482463220101752
ensemble temperature scaling,cwECE (MT),0.018820812077623445,0.00969807958442815
ensemble temperature scaling,cwECE (WNT),0.00456184210246798,0.0034155018794591986
ensemble temperature scaling,cwECE (MNT),0.003508498655838057,0.0008386552297896422
ensemble temperature scaling,NLL,0.12150220240397018,0.22174654755689807
imax binning,ECE (W),0.003180265356620188,0.012170980716537938
imax binning,ECE (M),0.002469739040830692,0.008857709069335579
imax binning,cwECE (WT),0.02541574238646337,0.018650330282537583
imax binning,cwECE (MT),0.016287014261334342,0.00995882666522615
imax binning,cwECE (WNT),0.003253650419008268,0.0028599309664449728
imax binning,cwECE (MNT),0.002094457986487474,0.000703092891406854
imax binning,NLL,0.12040636726838447,0.22143995083457382
none,ECE (W),0.022647488276163766,0.01637260317565195
none,ECE (M),0.02123575631777444,0.014972256413587903
none,cwECE (WT),0.03499293916913825,0.023870552270319218
none,cwECE (MT),0.018679175270848735,0.014135369663110348
none,cwECE (WNT),0.005487297894983585,0.003875543812073965
none,cwECE (MNT),0.00244533442558582,0.0012548487015629367
none,NLL,0.16426021330443855,0.4296343486954252
confusion,ECE (W),0.003569581894932232,0.011208887283071883
confusion,ECE (M),0.012644491761189328,0.008137711435779906
confusion,cwECE (WT),0.012499600316539761,0.02376140699001108
confusion,cwECE (MT),0.012499600316539761,0.013914442783980446
confusion,cwECE (WNT),0.0026034572878176508,0.003329074261921204
confusion,cwECE (MNT),0.0032754138256945444,0.001879256146748605
confusion,NLL,0.3353978394935442,0.5792114064894425
temperature scaling,ECE (W),0.006261615775005811,0.011389202912228311
temperature scaling,ECE (M),0.005919121413280972,0.010208098335316294
temperature scaling,cwECE (WT),0.026844984374149096,0.023135665097191498
temperature scaling,cwECE (MT),0.014333651766984024,0.008729011224696204
temperature scaling,cwECE (WNT),0.0035340781957537573,0.00334485505764195
temperature scaling,cwECE (MNT),0.0028262155219058614,0.0010303496190551624
temperature scaling,NLL,0.11847743331427127,0.41191351049030617
ensemble temperature scaling,ECE (W),0.013318998392641793,0.011467012249595872
ensemble temperature scaling,ECE (M),0.009759619196241891,0.010303799280823657
ensemble temperature scaling,cwECE (WT),0.030473776227224296,0.025056168929225013
ensemble temperature scaling,cwECE (MT),0.018073291098352855,0.008392181656416864
ensemble temperature scaling,cwECE (WNT),0.0045916267885081205,0.003479431383370586
ensemble temperature scaling,cwECE (MNT),0.003540659308671828,0.0010179480403791443
ensemble temperature scaling,NLL,0.12155364946102107,0.41463388228898157
imax binning,ECE (W),0.006677276173611933,0.013925991030959406
imax binning,ECE (M),0.006146481100823298,0.013227059886882598
imax binning,cwECE (WT),0.023214684194446604,0.02164096932140605
imax binning,cwECE (MT),0.01426139937927746,0.010330110705135034
imax binning,cwECE (WNT),0.003121943846105149,0.003342459481589641
imax binning,cwECE (MNT),0.0019438574527149207,0.0010017657646767771
imax binning,NLL,0.124470644599829,0.4169496600772427
none,ECE (W),0.02302324096361788,0.018622735895069478
none,ECE (M),0.019501470208168024,0.01648929585321021
none,cwECE (WT),0.03267674752160911,0.025526679068253934
none,cwECE (MT),0.020428784977952634,0.01596529208342551
none,cwECE (WNT),0.005550739031811668,0.004087116364496683
none,cwECE (MNT),0.002317875583477305,0.001530121142601214
none,NLL,0.16547711275100133,0.32587591029813723
confusion,ECE (W),0.0060991736634786065,0.011355372371816379
confusion,ECE (M),0.011220582779942657,0.004311472622166708
confusion,cwECE (WT),0.01122318986445473,0.028610454566605735
confusion,cwECE (MT),0.01122318986445473,0.012990110277817763
confusion,cwECE (WNT),0.0021398837893465738,0.003798778416850403
confusion,cwECE (MNT),0.0032616148982619908,0.0019606302782903583
confusion,NLL,0.3231721711288238,0.4590261455791912
temperature scaling,ECE (W),0.010707535387045471,0.013090594771027884
temperature scaling,ECE (M),0.00812988669804563,0.009868056123570968
temperature scaling,cwECE (WT),0.033948267137359524,0.022843966832101294
temperature scaling,cwECE (MT),0.016959551625200443,0.009369123208466522
temperature scaling,cwECE (WNT),0.00457937948896352,0.0033818568047055166
temperature scaling,cwECE (MNT),0.002840597384351697,0.0015555507545674866
temperature scaling,NLL,0.11842688049213625,0.3027545635312625
ensemble temperature scaling,ECE (W),0.01763313577423436,0.010858788230153946
ensemble temperature scaling,ECE (M),0.009961582730205462,0.009759460526475808
ensemble temperature scaling,cwECE (WT),0.03874887815445981,0.02356886172191238
ensemble temperature scaling,cwECE (MT),0.020894800690860384,0.009011351075268643
ensemble temperature scaling,cwECE (WNT),0.005434583123330084,0.0034197551399848627
ensemble temperature scaling,cwECE (MNT),0.0035659506661476228,0.0015952558461821338
ensemble temperature scaling,NLL,0.1208154233617145,0.3044275753795146
imax binning,ECE (W),0.011481597703440332,0.014169930045907034
imax binning,ECE (M),0.006418222353300263,0.013611120226376125
imax binning,cwECE (WT),0.03367190487856969,0.024036846681320504
imax binning,cwECE (MT),0.01737597407283608,0.010699193877877109
imax binning,cwECE (WNT),0.0044648199568869795,0.003632140513056823
imax binning,cwECE (MNT),0.0019151307308474283,0.001389477941984117
imax binning,NLL,0.11991027028225182,0.30534915772775517
none,ECE (W),0.024507125924030933,0.019827700775421748
none,ECE (M),0.024105016400416703,0.019675667894332508
none,cwECE (WT),0.03727623074080805,0.02604238163395266
none,cwECE (MT),0.022424188404138835,0.016731244943000455
none,cwECE (WNT),0.0059278377788108474,0.004273908114236239
none,cwECE (MNT),0.0024029492388855777,0.0016222203192616403
none,NLL,0.17368772620794873,0.4360930503583236
confusion,ECE (W),0.0028412072618259517,0.010810102824711416
confusion,ECE (M),0.008480047709689261,0.011007301260219954
confusion,cwECE (WT),0.008390515344347704,0.021234625293356006
confusion,cwECE (MT),0.008390515344347704,0.009579404963543304
confusion,cwECE (WNT),0.001824109864060279,0.0031900715518350655
confusion,cwECE (MNT),0.002646549895090867,0.0017555043826141797
confusion,NLL,0.3115718517010505,0.5418501540466417
temperature scaling,ECE (W),0.005603263754596245,0.01103679088263313
temperature scaling,ECE (M),0.0073743992308796845,0.008978260152111627
temperature scaling,cwECE (WT),0.032489835182305984,0.024396111245166767
temperature scaling,cwECE (MT),0.015214324601385009,0.010816150876381284
temperature scaling,cwECE (WNT),0.004665311795536278,0.0035399157302722327
temperature scaling,cwECE (MNT),0.0029345645294567542,0.0012821526805481104
temperature scaling,NLL,0.12608616104278772,0.4153161352669504
ensemble temperature scaling,ECE (W),0.01241913927841282,0.010775359285627537
ensemble temperature scaling,ECE (M),0.00946135018156623,0.009617718126971882
ensemble temperature scaling,cwECE (WT),0.034999864123094436,0.025473743305086845
ensemble temperature scaling,cwECE (MT),0.01816346252353206,0.009785039431880527
ensemble temperature scaling,cwECE (WNT),0.005049811040749372,0.003570387282202316
ensemble temperature scaling,cwECE (MNT),0.0035679129413377308,0.0012949117984331524
ensemble temperature scaling,NLL,0.12879087854497737,0.4177248862761803
imax binning,ECE (W),0.00401329530003197,0.012451627462812273
imax binning,ECE (M),0.004099344167905423,0.01126453452378443
imax binning,cwECE (WT),0.02560887801499065,0.024138976129678594
imax binning,cwECE (MT),0.015411604175549026,0.012323079659193409
imax binning,cwECE (WNT),0.003803479192858206,0.0037033760229488143
imax binning,cwECE (MNT),0.0019399137049653295,0.0013686368053072177
imax binning,NLL,0.13000599160364487,0.41946521296880646
none,ECE (W),0.024891472409168846,0.017465740177398978
none,ECE (M),0.02306010920802752,0.016799489307341205
none,cwECE (WT),0.0362144029882881,0.022871629960909183
none,cwECE (MT),0.02113068617089426,0.014617374828958463
none,cwECE (WNT),0.006071057966695406,0.003913020456326159
none,cwECE (MNT),0.002643170777522209,0.0014099674848404493
none,NLL,0.1740024958916434,0.3230770943827502
confusion,ECE (W),0.003636401085174599,0.009292191401438972
confusion,ECE (M),0.005278935610942352,0.0093335579020608
confusion,cwECE (WT),0.0052232610746921985,0.023542802582803567
confusion,cwECE (MT),0.0052232610746921985,0.01115415438387044
confusion,cwECE (WNT),0.001167106628761412,0.003283231407311053
confusion,cwECE (MNT),0.002032779311172766,0.00163806482325451
confusion,NLL,0.30659656065954805,0.4206861787132754
temperature scaling,ECE (W),0.00894638756245325,0.012019599388651601
temperature scaling,ECE (M),0.0098961541708004,0.01037355875701429
temperature scaling,cwECE (WT),0.03188484378235516,0.025217508026651337
temperature scaling,cwECE (MT),0.013999700774403084,0.009083455376757412
temperature scaling,cwECE (WNT),0.004460273607438327,0.0035565456176576684
temperature scaling,cwECE (MNT),0.002850652364055152,0.0011800619143039343
temperature scaling,NLL,0.1256143552131806,0.2997550200147152
ensemble temperature scaling,ECE (W),0.01372583006775894,0.011027097940773868
ensemble temperature scaling,ECE (M),0.008654407129962615,0.01051379637034205
ensemble temperature scaling,cwECE (WT),0.03393606571664899,0.024514960229393264
ensemble temperature scaling,cwECE (MT),0.017552212810294388,0.009164182207874632
ensemble temperature scaling,cwECE (WNT),0.00493393515084996,0.0034473344988405
ensemble temperature scaling,cwECE (MNT),0.0033753219855777636,0.0012191353684921497
ensemble temperature scaling,NLL,0.12758149452142528,0.30129381032884206
imax binning,ECE (W),0.00860572318984931,0.012837440612037643
imax binning,ECE (M),0.0033909378716157775,0.012794186626420154
imax binning,cwECE (WT),0.027181162778742034,0.022451182069138154
imax binning,cwECE (MT),0.01591564121982781,0.01007586560765065
imax binning,cwECE (WNT),0.0038031470164798355,0.00337186592298946
imax binning,cwECE (MNT),0.0018799100210410181,0.0011816666091912023
imax binning,NLL,0.12823699991960813,0.30095996747316356
none,ECE (W),0.023248897572358426,0.018566630198423365
none,ECE (M),0.021083934346834823,0.018088218333976232
none,cwECE (WT),0.03642201847644348,0.02644621633454704
none,cwECE (MT),0.022814186336851977,0.016393490886205977
none,cwECE (WNT),0.00583823512336038,0.004288632870610459
none,cwECE (MNT),0.0024252096493276006,0.0015709794294295153
none,NLL,0.16556676324095837,0.5346033522656359
confusion,ECE (W),0.0008683256266219715,0.01334087037836402
confusion,ECE (M),0.012565900568538865,0.01222841747631962
confusion,cwECE (WT),0.012571209771088688,0.027662622907543306
confusion,cwECE (MT),0.012571209771088688,0.01358827161123218
confusion,cwECE (WNT),0.0023114583998973806,0.00407371814750568
confusion,cwECE (MNT),0.0036834431887988275,0.002335729180733632
confusion,NLL,0.46209319615592903,0.8036662425902458
temperature scaling,ECE (W),0.009301767365557845,0.01137145017311196
temperature scaling,ECE (M),0.007966745065818969,0.01091834877072123
temperature scaling,cwECE (WT),0.034061932224270876,0.02413340483019362
temperature scaling,cwECE (MT),0.017501216502355872,0.010296324754687917
temperature scaling,cwECE (WNT),0.004750438408113798,0.0035446819219215157
temperature scaling,cwECE (MNT),0.0028838868349247955,0.001371957973279954
temperature scaling,NLL,0.1212996479917231,0.5256943404148733
ensemble temperature scaling,ECE (W),0.012770712732960487,0.01189446483146926
ensemble temperature scaling,ECE (M),0.009796084791899034,0.01111799042093723
ensemble temperature scaling,cwECE (WT),0.03770028837438104,0.02486980957919331
ensemble temperature scaling,cwECE (MT),0.02028848776551293,0.010013323833711351
ensemble temperature scaling,cwECE (WNT),0.005199702042371969,0.0035852441692307098
ensemble temperature scaling,cwECE (MNT),0.0036498744410209624,0.0014560880978944824
ensemble temperature scaling,NLL,0.12407801337063853,0.5288537708000299
imax binning,ECE (W),0.005866713552415415,0.013263594626991112
imax binning,ECE (M),0.003047041421267899,0.01331447417569613
imax binning,cwECE (WT),0.032051098950134374,0.022384635711208946
imax binning,cwECE (MT),0.014386366481158869,0.01093834748649394
imax binning,cwECE (WNT),0.0044155848389761275,0.003356911001604857
imax binning,cwECE (MNT),0.0017157551276183105,0.0014468807734052027
imax binning,NLL,0.12169275001948653,0.5271981713698921
none,ECE (W),0.021626474042733497,0.017419010669026305
none,ECE (M),0.018071118811766297,0.016287022932025483
none,cwECE (WT),0.033609164737765936,0.023448733542885854
none,cwECE (MT),0.019074375512641677,0.01563046229155621
none,cwECE (WNT),0.005303512413542448,0.0038079058272996206
none,cwECE (MNT),0.0019995110121766,0.001269908633072406
none,NLL,0.1546117538624935,0.318768692883533
confusion,ECE (W),0.00701552301504325,0.009193503497909929
confusion,ECE (M),0.014150336722507328,0.008528944369427343
confusion,cwECE (WT),0.015439946598786091,0.02293659528808535
confusion,cwECE (MT),0.015439946598786091,0.009483823275815335
confusion,cwECE (WNT),0.002570989157719205,0.003119483935569744
confusion,cwECE (MNT),0.0034808201259672266,0.001692298103359404
confusion,NLL,0.3190386731496152,0.4593494189889446
temperature scaling,ECE (W),0.00645612302135805,0.010967160681459573
temperature scaling,ECE (M),0.00623407388718069,0.008865403283691588
temperature scaling,cwECE (WT),0.029698283069274422,0.02487119683417617
temperature scaling,cwECE (MT),0.012371360076432077,0.011140432603410137
temperature scaling,cwECE (WNT),0.0037534518915888922,0.003242247541764906
temperature scaling,cwECE (MNT),0.002444883347727984,0.0012147427853330733
temperature scaling,NLL,0.11284543098052838,0.29398742639837383
ensemble temperature scaling,ECE (W),0.01587559594217901,0.009769189728551796
ensemble temperature scaling,ECE (M),0.014607854654368561,0.00791509466144471
ensemble temperature scaling,cwECE (WT),0.03341237984099212,0.02270296411703171
ensemble temperature scaling,cwECE (MT),0.017365568537024846,0.011427657541651258
ensemble temperature scaling,cwECE (WNT),0.004651020557941288,0.0030951595329497946
ensemble temperature scaling,cwECE (MNT),0.0034953040043556234,0.0012121249716550513
ensemble temperature scaling,NLL,0.11712413553124289,0.29620362942567763
imax binning,ECE (W),0.009845372404715516,0.010522482992797151
imax binning,ECE (M),0.008343814772316722,0.010425125995881725
imax binning,cwECE (WT),0.02940420790444382,0.020653370206000516
imax binning,cwECE (MT),0.014925181327211535,0.011223556236449347
imax binning,cwECE (WNT),0.003922030370813972,0.0031310577519964877
imax binning,cwECE (MNT),0.0020560466780013063,0.0011454239909981327
imax binning,NLL,0.11810547884310728,0.29667690789303947
none,ECE (W),0.026368811060984952,0.021663155247934832
none,ECE (M),0.025112344533205034,0.021663722620258504
none,cwECE (WT),0.03773395100322598,0.028586720864595
none,cwECE (MT),0.023624308476870897,0.01807313481641715
none,cwECE (WNT),0.00627567436492069,0.004805460511120427
none,cwECE (MNT),0.0027885635116941597,0.0015566706761207221
none,NLL,0.18840676906591855,0.2653522915198198
confusion,ECE (W),0.003347309450050755,0.00940681534301545
confusion,ECE (M),0.009918482255481982,0.006159693076962268
confusion,cwECE (WT),0.009842635566909442,0.022670327941997873
confusion,cwECE (MT),0.009842635566909442,0.012724050682998894
confusion,cwECE (WNT),0.0017946809692135682,0.00320147471435292
confusion,cwECE (MNT),0.0030879955454037556,0.0019463730087297168
confusion,NLL,0.2782046426450994,0.3289233311669957
temperature scaling,ECE (W),0.00836875027196328,0.013086804241908896
temperature scaling,ECE (M),0.009234262665184663,0.011584903359302262
temperature scaling,cwECE (WT),0.030333578160458775,0.02607492739003476
temperature scaling,cwECE (MT),0.0170312421694316,0.012617623126785996
temperature scaling,cwECE (WNT),0.003981316432347082,0.003791320842069556
temperature scaling,cwECE (MNT),0.002972636636604452,0.0013851302016163083
temperature scaling,NLL,0.1332204818928742,0.2326422381510101
ensemble temperature scaling,ECE (W),0.00905160616322616,0.011584272906390806
ensemble temperature scaling,ECE (M),0.008015085357171554,0.009018801983111637
ensemble temperature scaling,cwECE (WT),0.03310100691177541,0.029012979521195987
ensemble temperature scaling,cwECE (MT),0.01837565090263112,0.01069767760967485
ensemble temperature scaling,cwECE (WNT),0.004672359957226065,0.004007407209876938
