calibration method,metric,model,comb
imax binning,cwECE (WNT),0.00494821621939889,0.00346779243807826
imax binning,cwECE (MNT),0.0027164793181689204,0.0011520840195190193
imax binning,NLL,0.1685561901884036,0.3072401591304613
none,ECE (W),0.029201965262492524,0.016337749706627654
none,ECE (M),0.028623492290576313,0.016049266796146208
none,cwECE (WT),0.044627258737377704,0.02615037016505494
none,cwECE (MT),0.02532522455626939,0.011886328315404726
none,cwECE (WNT),0.007438261747280121,0.003813034297017516
none,cwECE (MNT),0.0025665779725876263,0.0011968652259481253
none,NLL,0.22632611837012304,0.23908198465697972
confusion,ECE (W),0.003030646777673788,0.00688635495496087
confusion,ECE (M),0.009447152248658596,0.005813768968477308
confusion,cwECE (WT),0.009479850904339804,0.021489469529914006
confusion,cwECE (MT),0.009479850904339804,0.011769480859829847
confusion,cwECE (WNT),0.0017826389980514844,0.0027823085090786267
confusion,cwECE (MNT),0.003060866564013373,0.0014618484360826866
confusion,NLL,0.414499952676737,0.36802398938329545
temperature scaling,ECE (W),0.00796682301593473,0.007914134436460881
temperature scaling,ECE (M),0.006176274385962016,0.007586996842760074
temperature scaling,cwECE (WT),0.03357935103512744,0.02008833361260452
temperature scaling,cwECE (MT),0.010449495434511383,0.005984529444409728
temperature scaling,cwECE (WNT),0.0047276055229052896,0.0026345094122552292
temperature scaling,cwECE (MNT),0.0023112298362101213,0.0009680266169716444
temperature scaling,NLL,0.158845722754539,0.20563043618319773
ensemble temperature scaling,ECE (W),0.008378946307309947,0.00776647677621506
ensemble temperature scaling,ECE (M),0.006269188971395365,0.007474937346765298
ensemble temperature scaling,cwECE (WT),0.03252922341838112,0.020214639879824983
ensemble temperature scaling,cwECE (MT),0.010607457521042281,0.005979955544447676
ensemble temperature scaling,cwECE (WNT),0.004630466962619513,0.0026527434839032187
ensemble temperature scaling,cwECE (MNT),0.0023525606930452038,0.0009882156106888061
ensemble temperature scaling,NLL,0.1595421102692001,0.2059147940419535
imax binning,ECE (W),0.005099320383421281,0.009220441157326675
imax binning,ECE (M),0.004351803194727777,0.008961628835124292
imax binning,cwECE (WT),0.031210980767849044,0.0182355638182971
imax binning,cwECE (MT),0.010077162675146899,0.008174231325072879
imax binning,cwECE (WNT),0.004444727978358222,0.0026193672512617215
imax binning,cwECE (MNT),0.0019950404954724625,0.0008426962428828486
imax binning,NLL,0.16851430826053537,0.20815573296803302
none,ECE (W),0.0377606996099154,0.023456847824474852
none,ECE (M),0.03699764255682627,0.022744105565523486
none,cwECE (WT),0.051104559193985134,0.03226714940123586
none,cwECE (MT),0.03275051655408707,0.017082097646697176
none,cwECE (WNT),0.008899056488843008,0.005095123519413086
none,cwECE (MNT),0.0033500290195769217,0.0017661412907734955
none,NLL,0.2852795978916155,0.5823356245100635
confusion,ECE (W),0.009064818158648848,0.009425241808214541
confusion,ECE (M),0.011902803513078907,0.007858586144293663
confusion,cwECE (WT),0.012246484668735036,0.026303672329761905
confusion,cwECE (MT),0.012246484668735036,0.01289164893730837
confusion,cwECE (WNT),0.0024498885246532756,0.003946678788389128
confusion,cwECE (MNT),0.0032972399348149663,0.002260621805941288
confusion,NLL,0.4890142102403527,0.7756167234375027
temperature scaling,ECE (W),0.01413208873089206,0.013419902683619379
temperature scaling,ECE (M),0.008557907204837142,0.011924170016558393
temperature scaling,cwECE (WT),0.03749060971549204,0.02478975201329209
temperature scaling,cwECE (MT),0.01336921420896552,0.012943916746692216
temperature scaling,cwECE (WNT),0.0057588274217994905,0.0037170693563468487
temperature scaling,cwECE (MNT),0.0026534972540598147,0.0016870848491159038
temperature scaling,NLL,0.19088813095478857,0.5758348211848001
ensemble temperature scaling,ECE (W),0.009760746754839905,0.013184089820803182
ensemble temperature scaling,ECE (M),0.010545162506023574,0.011149315306362897
ensemble temperature scaling,cwECE (WT),0.03938403998491118,0.02331309375916526
ensemble temperature scaling,cwECE (MT),0.013896152613104664,0.01284906899251218
ensemble temperature scaling,cwECE (WNT),0.005931007564102913,0.003552902886946012
ensemble temperature scaling,cwECE (MNT),0.0028348681165410927,0.0017006341330179087
ensemble temperature scaling,NLL,0.19100508141047884,0.5759007578374064
imax binning,ECE (W),0.010100375077260375,0.014524493215344369
imax binning,ECE (M),0.010048759864732623,0.013524230266269862
imax binning,cwECE (WT),0.03159255604328122,0.023500817110148897
imax binning,cwECE (MT),0.011416013455096265,0.01285713848656482
imax binning,cwECE (WNT),0.0050045962048724385,0.0037138194774119226
imax binning,cwECE (MNT),0.00249713527400816,0.00173105467557351
imax binning,NLL,0.19495228872900258,0.5779769267857703
none,ECE (W),0.030748426536719074,0.017010739351347448
none,ECE (M),0.02946773793299991,0.016371327336155487
none,cwECE (WT),0.0438625304796474,0.025509977179867672
none,cwECE (MT),0.027888682098993596,0.01308369168520078
none,cwECE (WNT),0.007629159084634439,0.0039195141520230745
none,cwECE (MNT),0.002692878505186847,0.0008628735511974097
none,NLL,0.23138533595394703,0.17472578172202222
confusion,ECE (W),0.011654553626253662,0.007757207644941413
confusion,ECE (M),0.012103259327292207,0.00704836336994369
confusion,cwECE (WT),0.012307740377038912,0.018238262138525523
confusion,cwECE (MT),0.012307740377038912,0.009714807190867893
confusion,cwECE (WNT),0.0021367220081527282,0.0027221218899447465
confusion,cwECE (MNT),0.003676571404374711,0.0016741246148315077
confusion,NLL,0.534342056698159,0.4149051302979311
temperature scaling,ECE (W),0.008797825673616946,0.010643687305702944
