calibration method,metric,model,comb
imax binning,cwECE (WNT),0.005527275510996706,0.003341442877896718
imax binning,cwECE (MNT),0.0031482296685025695,0.000929783590659752
imax binning,NLL,0.19699739780313383,0.34094803493248016
none,ECE (W),0.026851702203353176,0.012146021267336913
none,ECE (M),0.02342643385132153,0.01132420006298432
none,cwECE (WT),0.04783126289245145,0.026245013575676657
none,cwECE (MT),0.023195462555368303,0.011643730640025165
none,cwECE (WNT),0.007810500672800353,0.0035694963576982236
none,cwECE (MNT),0.0032644693130357686,0.0015866812408892963
none,NLL,0.21829626646833228,0.218119753020512
confusion,ECE (W),0.009188292067434597,0.00989878080337101
confusion,ECE (M),0.010955605440309362,0.006377115208145348
confusion,cwECE (WT),0.010970788719216019,0.020743914062641026
confusion,cwECE (MT),0.010970788719216019,0.012491312674995004
confusion,cwECE (WNT),0.002805489057649902,0.0030416128322395433
confusion,cwECE (MNT),0.004032525670972879,0.0020165660976370027
confusion,NLL,0.7197920065534201,0.6314531186679189
temperature scaling,ECE (W),0.014180771652233722,0.010540620199976005
temperature scaling,ECE (M),0.017750347874679825,0.008706360595863107
temperature scaling,cwECE (WT),0.04056184375340295,0.020903434748673573
temperature scaling,cwECE (MT),0.010862977551297174,0.012049587226277152
temperature scaling,cwECE (WNT),0.00526318309226422,0.0028755885396531808
temperature scaling,cwECE (MNT),0.0022406122293436013,0.0014291347751278958
temperature scaling,NLL,0.18267586502955388,0.20949899296774466
ensemble temperature scaling,ECE (W),0.014372704393779918,0.010168932570512598
ensemble temperature scaling,ECE (M),0.018131848655624644,0.008770423625482337
ensemble temperature scaling,cwECE (WT),0.04082963584708136,0.021090784599220664
ensemble temperature scaling,cwECE (MT),0.01152350745822774,0.01203716235775371
ensemble temperature scaling,cwECE (WNT),0.00531706208450807,0.0028897859219558413
ensemble temperature scaling,cwECE (MNT),0.0022807669176490453,0.001427495599516726
ensemble temperature scaling,NLL,0.18285307853161353,0.20963442955518402
imax binning,ECE (W),0.011978178777645732,0.010532046410049073
imax binning,ECE (M),0.01296944634477434,0.00864044812061274
imax binning,cwECE (WT),0.028085846499573235,0.01942718490859314
imax binning,cwECE (MT),0.011047704829279071,0.011671186732287349
imax binning,cwECE (WNT),0.003831973216491193,0.0027985686978855002
imax binning,cwECE (MNT),0.0017691931003088804,0.001524190152480559
imax binning,NLL,0.18774085383004885,0.21290597771077577
none,ECE (W),0.03341828609506291,0.017783978934405493
none,ECE (M),0.031516834765672685,0.01688560103362145
none,cwECE (WT),0.052675027764575666,0.03145741483991751
none,cwECE (MT),0.02779810558264496,0.012785385120415122
none,cwECE (WNT),0.008806652917453224,0.00446439718637613
none,cwECE (MNT),0.0040221251217018965,0.0013799225153540483
none,NLL,0.25674799745798504,0.17971622649719068
confusion,ECE (W),0.0023734898646711857,0.009941397632242596
confusion,ECE (M),0.012883477037997932,0.005822100426414773
confusion,cwECE (WT),0.013115638318031354,0.02268922759049081
confusion,cwECE (MT),0.013115638318031354,0.014568869712609558
confusion,cwECE (WNT),0.0022055817378369477,0.0033671596583788434
confusion,cwECE (MNT),0.004043811045669303,0.0020990737018786064
confusion,NLL,0.5635394267272624,0.43370577573177166
