calibration method,metric,model,comb
imax binning,cwECE (WNT),0.00716337784345419,0.004575797395481213
imax binning,cwECE (MNT),0.004923527533266272,0.0017175968589723772
imax binning,NLL,0.34179966053989064,0.5293028266871683
none,ECE (W),0.05220837333333367,0.0154796706137798
none,ECE (M),0.04991978666666675,0.014920995558351814
none,cwECE (WT),0.06751651823299834,0.033014977968020776
none,cwECE (MT),0.038636073207409395,0.015227818752819441
none,cwECE (WNT),0.012306173069286535,0.004985578934800275
none,cwECE (MNT),0.007993208411891401,0.0018473502776120078
none,NLL,0.3837986423680109,0.3446284017565071
confusion,ECE (W),0.0064197256957189905,0.014426882191953597
confusion,ECE (M),0.012071758335217642,0.014599442990118646
confusion,cwECE (WT),0.014406618519078207,0.027865094537872077
confusion,cwECE (MT),0.014406618519078207,0.01569648239806706
confusion,cwECE (WNT),0.003954720012884357,0.004139946546852974
confusion,cwECE (MNT),0.00556322478741559,0.002435383624809188
confusion,NLL,0.6838786961453202,0.5851416752983551
temperature scaling,ECE (W),0.015542430046061128,0.015997954106003826
temperature scaling,ECE (M),0.015243402385195745,0.016145524730990214
temperature scaling,cwECE (WT),0.049621550808487576,0.0271519144983395
temperature scaling,cwECE (MT),0.01991594625450949,0.014533623464107942
temperature scaling,cwECE (WNT),0.00755907499071448,0.0041556738000083065
temperature scaling,cwECE (MNT),0.004158039539328685,0.0017124692369523506
temperature scaling,NLL,0.32342487697997857,0.4006266069515156
ensemble temperature scaling,ECE (W),0.012283491126937935,0.014934485704544016
ensemble temperature scaling,ECE (M),0.016315845791456455,0.015076055807630273
ensemble temperature scaling,cwECE (WT),0.047431113150295884,0.02616092563609307
ensemble temperature scaling,cwECE (MT),0.01980692470628932,0.014255511964033896
ensemble temperature scaling,cwECE (WNT),0.0073620039995109295,0.004011566380518463
ensemble temperature scaling,cwECE (MNT),0.004428763323256729,0.0017171014842915669
ensemble temperature scaling,NLL,0.3261092432960088,0.4039213760802863
imax binning,ECE (W),0.013613020814129226,0.01623262642390693
imax binning,ECE (M),0.013613020814129222,0.016347069423908515
imax binning,cwECE (WT),0.040276563795471454,0.029259103792986463
imax binning,cwECE (MT),0.018547827492904824,0.014583402507826077
imax binning,cwECE (WNT),0.0061863237036428684,0.004215741344948848
imax binning,cwECE (MNT),0.0034064032228899323,0.0017887009237151756
imax binning,NLL,0.33301299994123873,0.405218785641173
none,ECE (W),0.05368781000000003,0.02182346142895163
none,ECE (M),0.05291889666666649,0.019281664403733165
none,cwECE (WT),0.06572409487669642,0.03803857566882756
none,cwECE (MT),0.039950880377116596,0.018667504603543293
none,cwECE (WNT),0.012893107951905281,0.005913926281466235
none,cwECE (MNT),0.007877953687265361,0.0028712614703539437
none,NLL,0.43462827906492113,0.49867727423074565
confusion,ECE (W),0.008746602336378926,0.013240905554103408
confusion,ECE (M),0.013511534427723043,0.010759658259532153
confusion,cwECE (WT),0.013685788800836374,0.03108034636192527
confusion,cwECE (MT),0.013685788800836374,0.01998896223525759
confusion,cwECE (WNT),0.003303505489051795,0.004641113233151175
confusion,cwECE (MNT),0.005278273680177192,0.003290800885377452
confusion,NLL,0.6935964657298583,0.6589985129409244
temperature scaling,ECE (W),0.011279073555502558,0.016401509417829557
temperature scaling,ECE (M),0.010519147939065986,0.016135791932256525
temperature scaling,cwECE (WT),0.0410950364417889,0.026582898611313643
temperature scaling,cwECE (MT),0.01576160100069984,0.015208217069587809
temperature scaling,cwECE (WNT),0.006810379998245256,0.004198516034521233
temperature scaling,cwECE (MNT),0.004137917566066565,0.0020607961691639786
temperature scaling,NLL,0.35585210663913297,0.49503040708728085
ensemble temperature scaling,ECE (W),0.010186196778358332,0.01562070671403695
ensemble temperature scaling,ECE (M),0.008782774270010866,0.015725893751893365
ensemble temperature scaling,cwECE (WT),0.04244601049991324,0.028917094316192476
ensemble temperature scaling,cwECE (MT),0.0158582593855884,0.014253856567109525
ensemble temperature scaling,cwECE (WNT),0.007110099371649454,0.0044360184991807045
ensemble temperature scaling,cwECE (MNT),0.004332303896916593,0.002045006242029834
