human,model,comb none,comb confusion,comb temperature scaling,comb ensemble temperature scaling,comb imax binning
0.969,0.9353333333333333,0.97,0.9613333333333334,0.9756666666666667,0.9756666666666667,0.9756666666666667
0.972,0.9446666666666667,0.9736666666666667,0.9696666666666667,0.98,0.98,0.98
0.9696666666666667,0.9346666666666666,0.9736666666666667,0.967,0.9773333333333334,0.978,0.9783333333333334
0.9763333333333334,0.9456666666666667,0.9783333333333334,0.9713333333333334,0.982,0.982,0.9826666666666667
0.9663333333333334,0.937,0.972,0.9656666666666667,0.9776666666666667,0.977,0.9783333333333334
0.9713333333333334,0.939,0.9733333333333334,0.968,0.981,0.9806666666666667,0.9813333333333333
0.9676666666666667,0.9406666666666667,0.9713333333333334,0.9683333333333334,0.9786666666666667,0.9786666666666667,0.979
0.9706666666666667,0.945,0.98,0.9706666666666667,0.9826666666666667,0.9826666666666667,0.982
0.9696666666666667,0.941,0.979,0.9633333333333334,0.9793333333333333,0.9793333333333333,0.981
0.9713333333333334,0.9426666666666667,0.975,0.9703333333333334,0.9786666666666667,0.9786666666666667,0.9786666666666667
0.965,0.9413333333333334,0.9756666666666667,0.9633333333333334,0.9773333333333334,0.9776666666666667,0.9776666666666667
0.9683333333333334,0.945,0.976,0.9693333333333334,0.9793333333333333,0.9793333333333333,0.9796666666666667
0.9693333333333334,0.9376666666666666,0.9713333333333334,0.966,0.9766666666666667,0.976,0.9763333333333334
0.9716666666666667,0.9383333333333334,0.9773333333333334,0.9723333333333334,0.982,0.9823333333333333,0.9823333333333333
0.972,0.9406666666666667,0.9743333333333334,0.9716666666666667,0.979,0.9786666666666667,0.9786666666666667
0.9736666666666667,0.938,0.9756666666666667,0.9726666666666667,0.982,0.982,0.982
0.9726666666666667,0.9393333333333334,0.9753333333333334,0.971,0.9836666666666667,0.9836666666666667,0.9823333333333333
0.967,0.9326666666666666,0.9723333333333334,0.9633333333333334,0.9766666666666667,0.9766666666666667,0.9756666666666667
0.9703333333333334,0.933,0.972,0.968,0.9783333333333334,0.9776666666666667,0.9773333333333334
0.969,0.9376666666666666,0.9753333333333334,0.9646666666666667,0.9803333333333333,0.9806666666666667,0.981
0.967,0.938,0.971,0.9683333333333334,0.9763333333333334,0.9763333333333334,0.9763333333333334
0.9676666666666667,0.9403333333333334,0.9756666666666667,0.9656666666666667,0.981,0.9806666666666667,0.9813333333333333
0.971,0.938,0.973,0.9676666666666667,0.98,0.98,0.9806666666666667
0.9633333333333334,0.9326666666666666,0.969,0.96,0.9733333333333334,0.9736666666666667,0.974
0.968,0.9366666666666666,0.9736666666666667,0.965,0.9796666666666667,0.9793333333333333,0.9793333333333333
