human,model,comb none,comb confusion,comb temperature scaling,comb ensemble temperature scaling,comb imax binning
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
0.9553333333333334,0.9926666666666667,0.9853333333333333,0.9906666666666667,0.986,0.986,0.986
