calibration method,metric,model,comb,comb (post cal)
uncal_MAP_CI,cwECE (MT),0.027866883157048633,0.01743630979066234,0.014546110034746155
uncal_MAP_CI,cwECE (WNT),0.007916807577424774,0.004779313298463246,0.004420356630170456
uncal_MAP_CI,cwECE (MNT),0.0030157891074951196,0.0012048862242634002,0.001200795823634963
uncal_MAP_CI,NLL,0.23261094746585728,0.1310313161642893,0.10639572940622727
MAP_CI,ECE (W),0.023672608481176936,0.015712819886182644,0.01385054357698439
MAP_CI,ECE (M),0.023192220766186482,0.013188030095846832,0.009441613648216569
MAP_CI,cwECE (WT),0.04297571943923032,0.028906739723823304,0.029294760621629633
MAP_CI,cwECE (MT),0.02226999931040332,0.015386775153198298,0.012634482073927708
MAP_CI,cwECE (WNT),0.006999127716433018,0.004340621260776658,0.0040068511827364975
MAP_CI,cwECE (MNT),0.0030003715584007596,0.0015386317071773281,0.0015604405096443113
MAP_CI,NLL,0.18262483843125873,0.09916953304690806,0.08365247418034472
MAP_CI,ECE (W),0.023672608481176936,0.015712819886182644,0.01385054357698439
MAP_CI,ECE (M),0.023192220766186482,0.013188030095846832,0.009441613648216569
MAP_CI,cwECE (WT),0.04297571943923032,0.028906739723823304,0.029294760621629633
MAP_CI,cwECE (MT),0.02226999931040332,0.015386775153198298,0.012634482073927708
MAP_CI,cwECE (WNT),0.006999127716433018,0.004340621260776658,0.0040068511827364975
MAP_CI,cwECE (MNT),0.0030003715584007596,0.0015386317071773281,0.0015604405096443113
MAP_CI,NLL,0.18262483843125873,0.09916953304690806,0.08365247418034472
uncal_MAP_CI,ECE (W),0.03148839137035982,0.01903870788375494,0.016778474353757154
uncal_MAP_CI,ECE (M),0.03087263148081994,0.01771234651446192,0.01462740309995918
uncal_MAP_CI,cwECE (WT),0.04572274752010972,0.02956423532499707,0.028907722711226456
uncal_MAP_CI,cwECE (MT),0.02717926940475811,0.017217013413771343,0.015033258225705184
uncal_MAP_CI,cwECE (WNT),0.00791915697090491,0.004784338836774538,0.004389958106951008
uncal_MAP_CI,cwECE (MNT),0.0030174498150639527,0.0016482583926836643,0.0016360225277888794
uncal_MAP_CI,NLL,0.22098005159543638,0.12295322392899023,0.1003255136758551
MAP_CI,ECE (W),0.022997444004979842,0.014328617813919392,0.010521512943791854
MAP_CI,ECE (M),0.02138202559515895,0.012946946304877478,0.009273589530433078
MAP_CI,cwECE (WT),0.03922491513638432,0.02588674361980614,0.024851660208865495
MAP_CI,cwECE (MT),0.02136773521045837,0.014433083846260322,0.012522791474940126
MAP_CI,cwECE (WNT),0.006454068945375013,0.0038651475783039674,0.0034488490647602925
MAP_CI,cwECE (MNT),0.0025361178100940197,0.0015618869347077276,0.0015730759962857832
MAP_CI,NLL,0.18713456587384458,0.09587015107648111,0.0810062505225393
MAP_CI,ECE (W),0.022997444004979842,0.014328617813919392,0.010521512943791854
MAP_CI,ECE (M),0.02138202559515895,0.012946946304877478,0.009273589530433078
MAP_CI,cwECE (WT),0.03922491513638432,0.02588674361980614,0.024851660208865495
MAP_CI,cwECE (MT),0.02136773521045837,0.014433083846260322,0.012522791474940126
MAP_CI,cwECE (WNT),0.006454068945375013,0.0038651475783039674,0.0034488490647602925
MAP_CI,cwECE (MNT),0.0025361178100940197,0.0015618869347077276,0.0015730759962857832
MAP_CI,NLL,0.18713456587384458,0.09587015107648111,0.0810062505225393
uncal_MAP_CI,ECE (W),0.02920195612826414,0.019064329562099306,0.015283594627167298
uncal_MAP_CI,ECE (M),0.028623494758657567,0.01808676700785426,0.01502491936949576
uncal_MAP_CI,cwECE (WT),0.044627250191302696,0.029573280567512367,0.029023699036974816
uncal_MAP_CI,cwECE (MT),0.025325225510231447,0.01833138354977054,0.014711855139118032
uncal_MAP_CI,cwECE (WNT),0.0074382608410224465,0.004531860372603563,0.004192821643514767
uncal_MAP_CI,cwECE (MNT),0.002632821778378252,0.0015566121900251809,0.001555338577127956
uncal_MAP_CI,NLL,0.22632612755997233,0.12169193333995859,0.0993483094257516
MAP_CI,ECE (W),0.030465995804146828,0.018178822898212793,0.016218186590310775
MAP_CI,ECE (M),0.029194415642605602,0.017538561862179333,0.013664285742366621
MAP_CI,cwECE (WT),0.047462830053270275,0.030562921360810215,0.02856037557958857
MAP_CI,cwECE (MT),0.025962402713740885,0.013458019277803051,0.012117554850360705
MAP_CI,cwECE (WNT),0.007992275366912625,0.004583936658551001,0.004158451206597214
MAP_CI,cwECE (MNT),0.0031637018405432592,0.001630611346424514,0.0016292409760167409
MAP_CI,NLL,0.23214635773583014,0.12390303728766372,0.10329173250588837
MAP_CI,ECE (W),0.030465995804146828,0.018178822898212793,0.016218186590310775
MAP_CI,ECE (M),0.029194415642605602,0.017538561862179333,0.013664285742366621
MAP_CI,cwECE (WT),0.047462830053270275,0.030562921360810215,0.02856037557958857
MAP_CI,cwECE (MT),0.025962402713740885,0.013458019277803051,0.012117554850360705
MAP_CI,cwECE (WNT),0.007992275366912625,0.004583936658551001,0.004158451206597214
MAP_CI,cwECE (MNT),0.0031637018405432592,0.001630611346424514,0.0016292409760167409
MAP_CI,NLL,0.23214635773583014,0.12390303728766372,0.10329173250588837
uncal_MAP_CI,ECE (W),0.03776069025739911,0.023845683175374305,0.0207584927733723
uncal_MAP_CI,ECE (M),0.03699757877797675,0.02313158551386787,0.019738769211068062
uncal_MAP_CI,cwECE (WT),0.051104550459229625,0.035389468838797504,0.03599975120207273
uncal_MAP_CI,cwECE (MT),0.032750509780270415,0.017485719855349732,0.014429303924889725
uncal_MAP_CI,cwECE (WNT),0.008899055561262201,0.005455830484221649,0.005122385218515988
uncal_MAP_CI,cwECE (MNT),0.003416434221896919,0.0015603781175957023,0.0015359096476587804
uncal_MAP_CI,NLL,0.2852796072786382,0.16172716751852215,0.13041441228463155
MAP_CI,ECE (W),0.024688944158624805,0.015406559005325018,0.01172302843998817
MAP_CI,ECE (M),0.02221946177594103,0.014963498026533883,0.011592701581518457
MAP_CI,cwECE (WT),0.04148137162083125,0.02742661538534267,0.027285800083096296
MAP_CI,cwECE (MT),0.022697792772318797,0.011748267770416395,0.00935834493314434
MAP_CI,cwECE (WNT),0.006790966979923892,0.0039904371134007405,0.0037223177076665163
MAP_CI,cwECE (MNT),0.0025933741807700143,0.000967031188288477,0.000903643728172868
MAP_CI,NLL,0.18994093925843678,0.10467322095517133,0.08754992449115698
MAP_CI,ECE (W),0.024688944158624805,0.015406559005325018,0.01172302843998817
MAP_CI,ECE (M),0.02221946177594103,0.014963498026533883,0.011592701581518457
MAP_CI,cwECE (WT),0.04148137162083125,0.02742661538534267,0.027285800083096296
MAP_CI,cwECE (MT),0.022697792772318797,0.011748267770416395,0.00935834493314434
MAP_CI,cwECE (WNT),0.006790966979923892,0.0039904371134007405,0.0037223177076665163
MAP_CI,cwECE (MNT),0.0025933741807700143,0.000967031188288477,0.000903643728172868
MAP_CI,NLL,0.18994093925843678,0.10467322095517133,0.08754992449115698
uncal_MAP_CI,ECE (W),0.030748417069142525,0.018475830077928412,0.01662464193908046
uncal_MAP_CI,ECE (M),0.029467737091168816,0.017115665176382362,0.014282635324768042
uncal_MAP_CI,cwECE (WT),0.043862521345606975,0.028378424822823205,0.029278554764207394
uncal_MAP_CI,cwECE (MT),0.027888682530990767,0.014830006386899519,0.012191013202665597
uncal_MAP_CI,cwECE (WNT),0.007629158119777425,0.004387840245703641,0.004216078158364718
